"ADDRESS","ZIP","count"
"2346 Carpenter St, Philadelphia, PA 19146, USA",19146,667
"533 W Ellet St, Philadelphia, PA 19119, USA",19119,438
"123 S Broad St, Philadelphia, PA 19109, USA",19109,2
"2736 Germantown Ave, Philadelphia, PA 19133, USA",19133,34
"2401 Pennsylvania Ave, Philadelphia, PA 19130, USA",19130,473
"464 Minerva St, Philadelphia, PA 19128, USA",19128,463
"623 Gaul St, Philadelphia, PA 19125, USA",19125,443
"5898 Lancaster Ave, Philadelphia, PA 19131, USA",19131,99
"4301 Chestnut St, Philadelphia, PA 19104, USA",19104,432
"1221 Ellsworth St, Philadelphia, PA 19147, USA",19147,789
"1220 Pine St floor 3, Philadelphia, PA 19107, USA",19107,153
"2118 S Hicks St, Philadelphia, PA 19145, USA",19145,297
"2771 Ruth St, Philadelphia, PA 19134, USA",19134,139
"1106 Fanshawe St, Philadelphia, PA 19111, USA",19111,191
"665 N 63rd St, Philadelphia, PA 19151, USA",19151,87
"4742 Oakmont St, Philadelphia, PA 19136, USA",19136,80
"1501 Cherry St, Philadelphia, PA 19102, USA",19102,52
"222 S Bonsall St, Philadelphia, PA 19103, USA",19103,306
"718 Arch St, Philadelphia, PA 19106, USA",19106,176
"1113 E Rittenhouse St, Philadelphia, PA 19138, USA",19138,68
"4001 Germantown Ave, Philadelphia, PA 19140, USA",19140,58
"6121 Cedar Ave, Philadelphia, PA 19143, USA",19143,398
"2442 Milan St, Philadelphia, PA 19153, USA",19153,27
"10926 Kipling Ln, Philadelphia, PA 19154, USA",19154,78
"7355 N Bouvier St, Philadelphia, PA 19126, USA",19126,52
"6548 Windsor St, Philadelphia, PA 19142, USA",19142,23
"308 E Evergreen Ave, Philadelphia, PA 19118, USA",19118,121
"1334 W Clearfield St, Philadelphia, PA 19132, USA",19132,52
"2516 S Juniper St, Philadelphia, PA 19148, USA",19148,435
"1553 N 11th St, Philadelphia, PA 19122, USA",19122,147
"3706 Daner Ln, Philadelphia, PA 19114, USA",19114,96
"1635 Fontain St, Philadelphia, PA 19121, USA",19121,202
"5720 Wissahickon Ave, Philadelphia, PA 19144, USA",19144,266
"9619 Dedaker St, Philadelphia, PA 19115, USA",19115,97
"1331 E Wyoming Ave, Philadelphia, PA 19124, USA",19124,79
"1601 Hellerman St, Philadelphia, PA 19149, USA",19149,75
"2531 Casimir St, Philadelphia, PA 19137, USA",19137,26
"828 N 2nd St, Philadelphia, PA 19123, USA",19123,198
"6203 Charles St, Philadelphia, PA 19135, USA",19135,55
"115 N 50th St, Philadelphia, PA 19139, USA",19139,156
"5635 N 16th St, Philadelphia, PA 19141, USA",19141,59
"3529 Vaux St, Philadelphia, PA 19129, USA",19129,149
"8005 Mansfield Ave, Philadelphia, PA 19150, USA",19150,75
"4941 D St, Philadelphia, PA 19120, USA",19120,69
"1831 Hoffnagle St, Philadelphia, PA 19152, USA",19152,83
"15146 Beverly Dr, Philadelphia, PA 19116, USA",19116,59
"4825 Ogle St, Philadelphia, PA 19127, USA",19127,84
"111 S 15th St, Philadelphia, PA 19110, USA",19110,1
"233 Chestnut St, Philadelphia, PA 19105, USA",19105,1
"Philadelphia, PA, USA",NA,21
