"ZIP","userCount","adultPop","userPercentage"
19104,322,47666,0.675533923551378
19111,144,49417,0.291397697148754
19145,286,35539,0.804749711584457
19147,686,32544,2.10791543756146
19125,359,21464,1.67256802087216
19143,323,48096,0.671573519627412
19136,65,26660,0.243810952738185
19146,526,33921,1.55066183190354
19119,407,22807,1.78453983426141
19151,76,24577,0.309232208975872
19116,68,26820,0.253542132736764
19138,40,23757,0.168371427368776
19144,224,38325,0.584474885844749
19134,121,40569,0.298257290049052
19122,125,21120,0.59185606060606
19128,370,31814,1.16300999559942
19103,264,24283,1.08718033191945
19121,122,30458,0.400551579223849
19149,62,41305,0.150102893112214
19148,446,40140,1.11111111111111
19106,127,13791,0.920890435791458
19150,71,NA,NA
19129,139,10383,1.33872676490417
19130,410,27402,1.496241150281
19139,126,34057,0.369967994832193
19118,123,NA,NA
19142,31,22012,0.14083227330547
19115,110,28237,0.389559797428905
19120,73,48497,0.150524774728334
19141,55,26706,0.205946229311765
19137,26,6034,0.430891614186278
19127,64,5428,1.17907148120855
19135,30,23816,0.125965737319449
19123,130,17162,0.757487472322573
19114,87,24789,0.350962120295292
19124,86,49090,0.17518842941536
19154,75,25910,0.289463527595523
19132,36,24524,0.146794976349698
19153,20,9659,0.207060772336681
19131,96,35609,0.269594765368306
19152,81,27832,0.291031905720035
19107,109,14676,0.74270918506405
19126,45,13881,0.324184136589583
19140,53,40242,0.131703195666219
NA,32,NA,NA
19133,19,19191,0.0990047418060549
19102,45,5848,0.769493844049248
19109,1,0,Inf
